"name","stockcode","percentage","size","standard_drinks","special","package","package_size","total_price","unit_price","cost_per_standard"
Sierra Nevada Pale Ale Draught Style Can 355mL,"24773",5.0,355.0,1.4,false,case,24,105.99,4.42,3.15
Old Speckled Hen English Pale Ale Bottles 500mL,"248225",4.8,500.0,1.9,true,bottle,1,18.0,18.0,9.47
Old Speckled Hen English Pale Ale Bottles 500mL,"248225",4.8,500.0,1.9,false,bottle,1,7.69,7.69,4.05
Old Speckled Hen English Pale Ale Bottles 500mL,"248225",4.8,500.0,1.9,false,case,12,51.99,4.33,2.28
Belhaven Scottish   Ale 500ml,"248448",5.2,500.0,2.1,true,bottle,1,5.0,5.0,2.38
Belhaven Scottish   Ale 500ml,"248448",5.2,500.0,2.1,false,bottle,1,7.69,7.69,3.66
Belhaven Scottish   Ale 500ml,"248448",5.2,500.0,2.1,false,case,12,58.99,4.92,2.34
Steersman Lime Lager Bottles 6x330mL,"248757",4.0,330.0,1.0,false,bottle,1,4.49,4.49,4.49
Steersman Lime Lager Bottles 6x330mL,"248757",4.0,330.0,1.0,true,pack,6,17.0,2.83,2.83
Steersman Lime Lager Bottles 6x330mL,"248757",4.0,330.0,1.0,false,pack,6,19.99,3.33,3.33
Steersman Lime Lager Bottles 6x330mL,"248757",4.0,330.0,1.0,false,case,24,50.99,2.12,2.12
Mnt Culture Cult IPACan 4x4x355ml,"250183",6.2,355.0,1.7,false,bottle,1,8.49,8.49,4.99
Mnt Culture Cult IPACan 4x4x355ml,"250183",6.2,355.0,1.7,false,pack,4,25.99,6.5,3.82
Mnt Culture Cult IPACan 4x4x355ml,"250183",6.2,355.0,1.7,false,case,16,88.99,5.56,3.27
Mnt Culture Status Quo NEPACan4x4x355ml,"250203",5.2,355.0,1.5,false,bottle,1,6.49,6.49,4.33
Mnt Culture Status Quo NEPACan4x4x355ml,"250203",5.2,355.0,1.5,false,pack,4,21.49,5.37,3.58
Mnt Culture Status Quo NEPACan4x4x355ml,"250203",5.2,355.0,1.5,true,case,16,65.0,4.06,2.71
Mnt Culture Status Quo NEPACan4x4x355ml,"250203",5.2,355.0,1.5,false,case,16,68.99,4.31,2.87
Akasha Super Chill Pacific Ale Can 375mL,"250220",4.2,375.0,1.24,false,pack,4,19.49,4.87,3.93
Burleigh Brewing Co Bighead No Carb Lager Cans 375mLn,"250859",4.2,375.0,1.24,false,bottle,1,3.15,3.15,2.54
Burleigh Brewing Co Bighead No Carb Lager Cans 375mLn,"250859",4.2,375.0,1.24,false,pack,4,13.3,3.33,2.68
Burleigh Brewing Co Bighead No Carb Lager Cans 375mLn,"250859",4.2,375.0,1.24,false,case,16,42.75,2.67,2.15
PIRATE LIFE South Coast Pale Ale 3.5% Cans 355mL,"250867",3.5,355.0,0.98,false,bottle,1,4.99,4.99,5.09
PIRATE LIFE South Coast Pale Ale 3.5% Cans 355mL,"250867",3.5,355.0,0.98,false,pack,4,16.49,4.12,4.21
PIRATE LIFE South Coast Pale Ale 3.5% Cans 355mL,"250867",3.5,355.0,0.98,false,case,16,49.99,3.12,3.19
Two Bays Gluten FreeDraught Can4x6x375mL,"251339",4.2,375.0,1.2,false,bottle,1,5.49,5.49,4.58
Two Bays Gluten FreeDraught Can4x6x375mL,"251339",4.2,375.0,1.2,false,pack,6,25.49,4.25,3.54
Two Bays Gluten FreeDraught Can4x6x375mL,"251339",4.2,375.0,1.2,false,case,24,78.99,3.29,2.74
Hawkesbury Brewing Co IPA6x4x375ml,"252261",6.3,375.0,1.83,false,bottle,1,6.99,6.99,3.82
Hawkesbury Brewing Co IPA6x4x375ml,"252261",6.3,375.0,1.83,false,pack,4,21.99,5.5,3.0
Hawkesbury Brewing Co IPA6x4x375ml,"252261",6.3,375.0,1.83,false,case,24,100.99,4.21,2.3
Gage Roads Hazy As Pale Ale Can 330mL,"253853",5.0,330.0,1.3,false,bottle,1,5.09,5.09,3.92
Gage Roads Hazy As Pale Ale Can 330mL,"253853",5.0,330.0,1.3,false,pack,6,26.49,4.42,3.4
Gage Roads Hazy As Pale Ale Can 330mL,"253853",5.0,330.0,1.3,false,case,24,78.99,3.29,2.53
Hawkesbury Brewing Co Hazy Cans 375mL,"254322",5.0,375.0,1.5,false,bottle,1,4.99,4.99,3.33
Coopers Best Extra Stout 750mL,"25500",6.3,750.0,3.7,false,bottle,1,10.49,10.49,2.84
Coopers Best Extra Stout 750mL,"25500",6.3,750.0,3.7,false,case,12,80.99,6.75,1.82
Hawkesbury Brewing Pacific Ale6x4x375ml,"255832",3.5,375.0,1.0,false,bottle,1,5.19,5.19,5.19
Hawkesbury Brewing Pacific Ale6x4x375ml,"255832",3.5,375.0,1.0,false,pack,4,18.99,4.75,4.75
Hawkesbury Brewing Pacific Ale6x4x375ml,"255832",3.5,375.0,1.0,false,case,24,76.99,3.21,3.21
Coopers Best Extra Stout Bottles 375mL,"25600",6.3,375.0,1.9,false,bottle,1,5.99,5.99,3.15
